Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1738.5813466666677
FDW14,OUT017,1526.4374926666685
NCN55,OUT010,705.2486499999992
FDQ58,OUT017,2031.5977073333322
FDY38,OUT027,6460.308444666651
FDH56,OUT046,2107.0372859999993
FDL48,OUT018,692.7981900000012
FDC48,OUT027,1642.9791246666632
FDN33,OUT045,1276.458444
FDA36,OUT017,2353.5097880000008
FDT44,OUT017,1343.1760426666626
FDQ56,OUT045,1752.372283999997
NCC54,OUT019,718.0009393333321
FDU11,OUT049,1873.5434453333305
DRL59,OUT013,747.6024073333342
FDM24,OUT049,2385.9608799999974
FDI57,OUT045,4187.0186793333305
DRC12,OUT018,3221.839490000005
NCM42,OUT027,2947.316834000001
FDA46,OUT010,457.9616526666665
FDA31,OUT013,2475.6130693333375
NCJ31,OUT035,3044.994132666663
FDG52,OUT046,792.2886839999996
NCL19,OUT019,354.4186560000004
FDS10,OUT035,2775.302965333333
FDX22,OUT010,473.1108219999999
NCF19,OUT035,701.0407940000014
NCE06,OUT046,2099.1608719999986
DRC27,OUT046,4174.461691333333
FDE21,OUT035,2053.451482666668
NCR42,OUT019,58.29522866666671
FDX51,OUT018,2564.743715333335
NCR06,OUT018,304.32164466666705
FDU31,OUT027,5718.64719266667
FDU59,OUT017,2241.6798006666645
FDR03,OUT027,4944.186413333326
FDS49,OUT027,2607.3238446666655
FDD48,OUT010,220.87027266666666
NCF18,OUT017,3372.2303939999965
NCD43,OUT027,2076.8476946666633
NCD54,OUT018,1829.6006453333337
FDY19,OUT010,225.60189133333313
NCY54,OUT017,2276.6742486666603
NCL19,OUT018,2188.5889086666693
FDP23,OUT010,448.93340466666695
FDC26,OUT013,1836.8423299999988
FDR14,OUT010,128.0266820000001
NCS41,OUT035,3073.7300606666627
FDF41,OUT035,4340.108292666662
FDU34,OUT046,2320.195375333332
DRH11,OUT046,866.3101086666657
FDM03,OUT013,2184.556379999999
FDS31,OUT017,3161.961876666659
FDJ20,OUT017,1551.444940666661
FDV44,OUT027,4503.247047333334
FDG02,OUT049,2618.178604000004
FDA09,OUT013,3956.1503099999995
FDT04,OUT013,398.7498393333331
FDL58,OUT019,543.5347073333327
FDE52,OUT045,1368.2900186666677
FDW12,OUT035,2779.5063826666687
FDL51,OUT017,4192.795604000003
NCY42,OUT027,2568.0460833333423
FDR07,OUT017,1482.159573333333
FDN40,OUT045,2894.4212433333287
FDB35,OUT027,2341.0215993333313
FDA22,OUT017,2803.9168299999947
NCL06,OUT046,4239.192986666664
FDI35,OUT013,3702.4871679999974
NCW42,OUT045,3876.7159313333354
NCX06,OUT049,3018.9657913333344
FDC37,OUT027,2272.191195333335
FDZ14,OUT018,1844.4302306666698
DRG49,OUT049,5198.280105999984
NCG06,OUT045,3291.1426119999987
DRC36,OUT045,3515.5216506666707
FDV21,OUT019,491.2250206666677
FDB53,OUT046,3241.8223673333323
DRP47,OUT019,555.7654533333338
FDA14,OUT013,2119.5853966666655
DRC24,OUT035,2633.3344313333328
FDW21,OUT018,1420.8704639999985
NCH29,OUT046,1916.0059500000016
FDU58,OUT013,3659.323354000005
FDY27,OUT017,1901.3561306666668
FDV56,OUT035,1382.4493653333318
FDT59,OUT046,4533.742906666658
FDB23,OUT046,3443.459897333332
FDR49,OUT045,756.4553280000007
FDB03,OUT010,683.181818666667
FDN39,OUT045,3003.0132233333316
FDX02,OUT027,5386.282051999995
FDQ16,OUT027,2744.1568413333334
FDU35,OUT018,1670.8672673333351
NCT29,OUT013,2020.2724493333337
FDZ27,OUT046,872.6196733333334
FDN57,OUT017,2038.0049226666722
FDA03,OUT018,2325.7792180000038
FDZ36,OUT045,3381.520523333325
NCU05,OUT013,1183.217592666667
FDT39,OUT018,2193.529144666666
FDK60,OUT017,1508.4542346666667
FDZ25,OUT017,3182.8679966666746
FDG12,OUT046,2521.7463513333314
DRB01,OUT019,641.1254519999992
NCC43,OUT027,4939.397091999982
FDX13,OUT019,566.7977593333336
FDM22,OUT049,893.4902840000009
FDJ03,OUT027,1529.3514773333325
FDU14,OUT018,4365.812611333337
FDB33,OUT010,386.45917133333325
FDP27,OUT046,3528.3449586666616
FDO38,OUT010,164.61904999999976
FDE28,OUT027,6425.1497659999895
FDO27,OUT035,1390.0550206666671
DRL23,OUT027,2217.4358033333333
FDS28,OUT046,902.8314580000011
FDX24,OUT013,1417.0709653333333
FDZ02,OUT035,1196.3471686666683
FDL46,OUT045,1579.4240759999964
FDS60,OUT027,4799.807683333336
NCO06,OUT017,454.8501473333337
FDO16,OUT035,1676.2824406666678
FDC60,OUT049,1672.396388000001
FDA48,OUT018,4031.0150813333335
FDZ36,OUT027,3723.712871999992
FDK27,OUT045,1856.916199999997
FDW23,OUT018,481.1026413333333
FDM14,OUT018,1335.818952666667
FDM14,OUT013,1539.493830666667
FDW60,OUT018,2584.9618419999974
FDE21,OUT013,1783.025716000001
NCM42,OUT035,1740.9493753333352
FDY59,OUT010,178.8005899999999
DRI49,OUT049,1344.9315353333338
FDT28,OUT019,226.00581
FDQ22,OUT018,540.6451353333324
FDR60,OUT049,1000.2513140000013
FDC50,OUT019,288.21594266666665
FDV24,OUT013,2384.4894620000014
DRF48,OUT010,552.1923266666655
FDQ47,OUT046,651.2633666666661
DRN36,OUT049,1623.2647866666662
NCY06,OUT035,2000.1786053333337
FDE52,OUT035,1423.4360133333348
NCB54,OUT045,1602.2965253333366
NCF31,OUT035,2034.010122666667
FDJ08,OUT027,4309.481492666668
NCC07,OUT017,1493.844363333334
NCD19,OUT027,1467.4986573333333
FDL46,OUT049,2139.310831333332
FDM20,OUT045,4696.468865333335
NCI06,OUT010,424.40533266666756
DRM11,OUT035,4723.886509333329
NCH07,OUT018,2287.795327999999
FDS23,OUT013,2257.805476666665
FDO49,OUT018,671.5968986666674
FDS35,OUT049,862.3130893333318
DRK39,OUT045,1571.319070666668
DRI39,OUT049,765.0574640000012
FDV04,OUT017,1991.1215059999954
NCN14,OUT035,2771.4280093333336
FDH08,OUT013,4024.4613900000004
FDS20,OUT046,3295.2261853333307
FDV40,OUT049,1084.379582666665
FDZ48,OUT010,195.00172333333342
FDS24,OUT027,2197.6082793333353
FDK44,OUT049,1984.4324353333323
FDS48,OUT045,2280.18745333333
FDK26,OUT010,603.4744620000002
FDD23,OUT045,3667.383972666667
NCH54,OUT017,3068.0308126666678
NCP14,OUT010,181.30399800000035
FDM60,OUT010,87.28416066666676
FDV24,OUT017,2226.5395086666645
FDH08,OUT018,3575.5413013333377
FDS12,OUT027,3320.7130093333312
FDR39,OUT027,4419.287447999997
FDP12,OUT027,930.3955779999997
DRF60,OUT027,5448.070511333338
FDC09,OUT035,1470.4303966666673
FDF50,OUT018,3225.5724086666714
FDG28,OUT035,3525.515308666667
NCE19,OUT017,860.8061620000019
NCM53,OUT010,256.49723066666684
NCN18,OUT049,1508.6961419999996
FDF32,OUT035,2850.181052666663
FDF11,OUT013,3568.9454426666653
DRI59,OUT049,3947.7634493333326
NCG54,OUT035,2873.002457333338
FDM44,OUT046,1686.773229333335
FDT57,OUT018,2234.990729999999
FDV24,OUT046,2480.9039599999974
FDI50,OUT019,576.0457213333334
FDS09,OUT035,826.4131533333325
